appid,name
2610,GUN
2640,Call of Duty: United Offensive
3020,Call of Juarez
4800,Heroes of Annihilated Empires
4880,Cossacks: European Wars
6040,The Dig
6200,Ghost Master
6300,Dreamfall: The Longest Journey
7800,Stubbs the Zombie in Rebel Without a Pulse
8330,Telltale Texas Hold ‘Em
8400,Geometry Wars: Retro Evolved
8890,Freedom Force vs. the Third Reich
9060,HeXen II
9500,Gish
11130,Sherlock Holmes: The Mystery of the Mummy
11150,Sherlock Holmes: The Silver Earring
11190,Sherlock Holmes versus Jack the Ripper
11330,Obulis
11340,Larva Mortus
11390,Crash Time 2
12160,Midnight Club 2
13540,Tom Clancy's Rainbow Six Vegas
15190,Brothers in Arms: Road to Hill 30
15210,Silent Hunter III
15390,Brothers in Arms: Hell's Highway
15740,Oddworld: Munch's Oddysee
18020,"Precipice of Darkness, Episode Two"
21800,Tom Clancy's EndWar
22130,Hearts of Iron 2 Complete
23400,Imperium Romanum Gold Edition
24670,Trainz Simulator 12
25010,Lugaru HD
25990,Majesty Gold HD
31220,Sam & Max 301: The Penal Zone
32330,LEGO Indiana Jones: The Original Adventures
32340,LOOM
32350,STAR WARS Starfighter
32420,STAR WARS: The Clone Wars - Republic Heroes
33130,Zombie Shooter
33210,Dawn of Discovery
33220,Tom Clancy's Splinter Cell Conviction
34600,Order of War
34820,Combat Wings: Battle of Britain
37000,The Void
39550,SpellForce 2 - Anniversary Edition
39560,Painkiller: Resurrection
40980,Stronghold Legends: Steam Edition
41014,Serious Sam HD: The Second Encounter
41800,Gratuitous Space Battles
42890,Sword of the Stars: Complete Collection
46460,Scratches - Director's Cut
46480,Still Life
46560,Robin Hood: The Legend of Sherwood
48110,Silent Hunter 5: Battle of the Atlantic
48800,Ship Simulator Extremes
49470,Magic: The Gathering - Duels of the Planeswalkers 2012
57620,Patrician IV
61600,Zen Bound 2
61700,Might & Magic: Clash of Heroes
63610,Riven: The Sequel to MYST
63660,Myst: Masterpiece Edition
63950,IL-2 Sturmovik: Cliffs of Dover
70100,Hacker Evolution
70420,Chantelise - A Tale of Two Sisters
70640,Worms
71113,Sonic The Hedgehog
80310,Gemini Rue
91100,SkyDrift
98100,Trauma
112100,Avadon: The Black Fortress
115220,American Conquest: Fight Back
201510,Flatout 3: Chaos & Destruction
202130,Impire
202310,Ridge Racer Unbounded
203510,Fortune Summoners
203650,Sonic the Hedgehog 4 - Episode II
204560,Confrontation
204860,Men of War: Condemned Heroes
205730,Insanely Twisted Shadow Planet
205810,Jagged Alliance: Crossfire
205840,Yesterday
205990,Warlock 2: The Exiled
207250,Cubemen
207320,Ys: The Oath in Felghana
207750,Symphony
209060,Drunken Robot Pornography
209120,Street Fighter X Tekken
209630,Magrunner: Dark Pulse
210170,Spirits
210950,Rune Classic
211180,Unmechanical
211260,They Bleed Pixels
211780,Conflict Desert Storm
216110,Tiny Troopers
217140,Rise of the Triad
217690,Anna - Extended Edition
217790,Dogfight 1942
219950,NiGHTS Into Dreams
220700,RPG Maker VX Ace
220980,CRYENGINE
221020,Towns
222420,THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION
222440,THE KING OF FIGHTERS 2002 UNLIMITED MATCH
222640,Aarklash: Legacy
222980,Dead Pixels
223630,AirBuccaneers
226100,PixelJunk Nom Nom Galaxy
227080,Papo & Yo
227560,Scourge: Outbreak
228560,Teenage Mutant Ninja Turtles: Out of the Shadows
228760,TrackMania² Canyon
228960,Skulls of the Shogun
231330,Deadfall Adventures
232450,SolForge
233190,Final Exam
235320,Original War
235360,Prime World: Defenders
235900,RPG Maker XP
237430,Expeditions: Conquistador
237890,Agarest: Generations of War
238280,Legend of Dungeon
241410,CastleStorm
241620,Inquisitor
242110,Joe Danger 2: The Movie
242840,In Verbis Virtus
243160,Mushroom 11
243450,Urban Trial Freestyle
244590,Epigenesis
244730,Divekick
246090,Spacebase DF-9
246700,Strike Vector
246840,FATE
248170,Clickteam Fusion 2.5
248310,Freedom Planet
248470,Doorways: Prelude
248710,Iesabel
249190,Ancient Space
249630,Delver
250380,Knock-knock
251110,INFRA
251290,The Legend of Heroes: Trails in the Sky SC
251890,World of Diving
252170,Anomaly Warzone Earth Mobile Campaign
252350,Double Dragon: Neon
252630,Eldritch
252670,Nihilumbra
253330,Neverending Nightmares
253510,WARMACHINE: Tactics
253750,Ikaruga
254200,FortressCraft Evolved!
254440,Pool Nation
254460,Obscure
254960,Silent Storm Gold Edition
255280,1954 Alcatraz
